title,year,rating,directors,stars,durasi_menit
Up,2009,8.3,"Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger",96
North by Northwest,1959,8.3,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason",136
M,1931,8.3,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut",99
Full Metal Jacket,1987,8.2,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",116
Citizen Kane,1941,8.2,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore",119
Like Stars on Earth,2007,8.3,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra",162
Amélie,2001,8.3,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus",122
Vertigo,1958,8.2,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes",128
A Separation,2011,8.3,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat",123
Die Hard,1988,8.2,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia",132
To Kill a Mockingbird,1962,8.3,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton",129
Indiana Jones and the Last Crusade,1989,8.2,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody",127
The Sting,1973,8.2,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw",129
A Clockwork Orange,1971,8.2,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates",136
Metropolis,1927,8.2,Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich",153
Snatch,2000,8.2,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham",102
1917,2019,8.2,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays",119
Confidential,1997,8.2,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce",138
Oppenheimer,2023,8.3,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon",180
Downfall,2004,8.2,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes",156
Bicycle Thieves,1948,8.2,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell",89
Dangal,2016,8.3,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",161
The Wolf of Wall Street,2013,8.2,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie",180
